NOME DO MUNICÍPIO;CO_ENTIDADE;NO_ENTIDADE;Endereço;Escola;Dependência Administrativa;Conveniada Poder Público;Latitude;Longitude;Município;Localização;Matrículas;Escolas
Ipojuca;26184397;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DE CAMELA;RUA MARIA JOSE FERREIRA DE OLIVEIRA, SN CAMELA. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DE CAMELA;Municipal;Não;-8,51177;-35,12181;Ipojuca;Urbana;213;1
Ipojuca;26131757;ESCOLA MUNICIPAL SANTO ELIAS;ENGENHO CAETES, SN ZONA RURAL. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL SANTO ELIAS;Municipal;Não;-8,484618;-35,0636921;Ipojuca;Rural;16;1
Ipojuca;26188066;CRECHE PROFESSORA MARIA REJANE DA SILVA SANTOS;RUA DO JOMBEIRO, S/N NOSSA SENHORA DO O. 55590-000 Ipojuca - PE.;CRECHE PROFESSORA MARIA REJANE DA SILVA SANTOS;Municipal;Não;-8,4426698;-35,010844;Ipojuca;Urbana;176;1
Ipojuca;26184966;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DE NOSSA SENHORA DO O;RUA VINTE, 5 NOSSA SENHORA DO O. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DE NOSSA SENHORA DO O;Municipal;Não;-8,4416466;-35,019819;Ipojuca;Urbana;262;1
Ipojuca;26188082;ESCOLA MUNICIPAL PROFESSORA MARIA JOSE DA COSTA;RUA 04, S/N LOTEAMENTO CANOAS. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL PROFESSORA MARIA JOSE DA COSTA;Municipal;Não;-8,4386474;-35,0202101;Ipojuca;Urbana;75;1
Ipojuca;26131080;ESCOLA MUNICIPAL SANTOS COSME E DAMIAO;ENGENHO CACHOEIRA, SN ZONA RURAL. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL SANTOS COSME E DAMIAO;Municipal;Não;-8,435221;-35,11432;Ipojuca;Rural;20;1
Ipojuca;26131765;ESCOLA MUNICIPAL SAO JORGE;ENGENHO MACACO, SN ZONA RURAL. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL SAO JORGE;Municipal;Não;-8,41797271;-35,04992234;Ipojuca;Rural;10;1
Ipojuca;26189003;CRECHE PROFESSORA JUSETE BARBOSA SOARES LIMA;RUA PAULO EMIDIO DO NASCIMENTO, S/N CENTRO. 55590-000 Ipojuca - PE.;CRECHE PROFESSORA JUSETE BARBOSA SOARES LIMA;Municipal;Não;-8,40189076;-35,06393658;Ipojuca;Urbana;187;1
Ipojuca;26130904;ESCOLA MUNICIPAL PROFESSOR ADERBAL JUREMA;AV FRANCISCO ALVES DE SOUZA, SN CENTRO. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL PROFESSOR ADERBAL JUREMA;Municipal;Não;-8,397969;-35,06041;Ipojuca;Urbana;11;1
Ipojuca;26131781;ESCOLA MUNICIPAL ELISA EMILIA DE ALMEIDA;RUA SAO MIGUEL, SN SAO MIGUEL. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL ELISA EMILIA DE ALMEIDA;Municipal;Não;-8,3962658;-35,0643369;Ipojuca;Urbana;68;1
Ipojuca;26141698;ESCOLA MUNICIPAL NOSSA SENHORA DO PERPETUO SOCORRO;ENGENHO CALIFORNIA, SN ZONA RURAL. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL NOSSA SENHORA DO PERPETUO SOCORRO;Municipal;Não;-8,392362;-35,04451;Ipojuca;Rural;7;1
Ipojuca;26132990;ESCOLA MUNICIPAL NOSSA SENHORA DE LOURDES - USINA IPOJUCA;RUA DO VENTO, SN USINA IPOJUCA. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL NOSSA SENHORA DE LOURDES - USINA IPOJUCA;Municipal;Não;-8,3923111;-35,0907326;Ipojuca;Urbana;65;1
Ipojuca;26131102;ESCOLA MUNICIPAL SAO MATEUS;ENGENHO CRAUASSU, SN ZONA RURAL. 55590-000 Ipojuca - PE.;ESCOLA MUNICIPAL SAO MATEUS;Municipal;Não;-8,392158;-35,112;Ipojuca;Rural;5;1
Cabo de Santo Agostinho;26130165;ESCOLA PROFESSORA GUIOMAR DE ALBUQUERQUE MARANHAO;ENGENHO UTINGA DE BAIXO, S/N ENGENHO UTINGA DE BAIXO. 54590-000 Cabo de Santo Agostinho - PE.;ESCOLA MUNICIPAL PROFESSORA GUIOMAR DE ALBUQUERQUE MARANHAO;Municipal;Não;-8,328236;-35,05176;Cabo de Santo Agostinho;Rural;4;1
Cabo de Santo Agostinho;26129949;ESCOLA MARIA MADALENA TABOSA LOPES;RUA 03, S/N PRAIA DE ITAPUAMA. 54590-000 Cabo de Santo Agostinho - PE.;ESCOLA MUNICIPAL MARIA MADALENA TABOSA LOPES;Municipal;Não;-8,292673333;-34,95587833;Cabo de Santo Agostinho;Rural;43;1
Cabo de Santo Agostinho;26528746;CENTRO DE EDUCACAO INFANTIL DA TORRINHA;RUA MANOEL QUEIROZ DA SILVA, S/N TORRINHA. 54590-000 Cabo de Santo Agostinho - PE.;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA LUCIA FARIAS CABRAL ROMEU;Municipal;Não;-8,286499;-35,03444;Cabo de Santo Agostinho;Urbana;91;1
Cabo de Santo Agostinho;26154129;ESCOLA MUN DR JOSE ROBERTO MONTEIRO;ENGENHO ARARIBA DE BAIXO, S/N ARARIBA DE BAIXO. 54590-000 Cabo de Santo Agostinho - PE.;ESCOLA MUNICIPAL DR JOSE ROBERTO MONTEIRO;Municipal;Não;-8,2806042;-35,1842853;Cabo de Santo Agostinho;Rural;15;1
Cabo de Santo Agostinho;26130467;ESCOLA PADRE HENRIQUE VIEIRA;ENGENHO TRAPICHE, 06 ENGENHO TRAPICHE. 54590-000 Cabo de Santo Agostinho - PE.;ESCOLA MUNICIPAL PADRE HENRIQUE VIEIRA;Municipal;Não;-8,263015;-35,03145;Cabo de Santo Agostinho;Rural;19;1
Cabo de Santo Agostinho;26178362;CENTRO DE EDUCACAO INFANTIL - SANTO ESTEVAO;RUA PROJETADA VINTE E NOVE, S/N PONTE DOS CARVALHOS. 54580-134 Cabo de Santo Agostinho - PE.;CENTRO DE EDUCACAO INFANTIL SANTO ESTEVAO;Municipal;Não;-8,236529;-34,99275;Cabo de Santo Agostinho;Urbana;37;1
